Тип данных,Размер,Алгоритм,Время (сек)
random,100,Bubble Sort,0.00036130000080447644
random,100,Selection Sort,0.00018670001009013504
random,100,Insertion Sort,0.00018280000949744135
random,100,Merge Sort,0.000149200001033023
random,100,Quick Sort,7.829999958630651e-05
random,1000,Bubble Sort,0.04411909999907948
random,1000,Selection Sort,0.018776500000967644
random,1000,Insertion Sort,0.01814149999700021
random,1000,Merge Sort,0.0018102000030921772
random,1000,Quick Sort,0.0009947999933501706
random,5000,Bubble Sort,1.1578246999997646
random,5000,Selection Sort,0.469613199995365
random,5000,Insertion Sort,0.4754811999882804
random,5000,Merge Sort,0.011026599997421727
random,5000,Quick Sort,0.0055813000071793795
random,10000,Bubble Sort,4.474503900011769
random,10000,Selection Sort,1.8525107999885222
random,10000,Insertion Sort,1.8750227999989875
random,10000,Merge Sort,0.022993999999016523
random,10000,Quick Sort,0.012177900003734976
sorted,100,Bubble Sort,9.199997293762863e-06
sorted,100,Selection Sort,0.0002007999864872545
sorted,100,Insertion Sort,1.170000177808106e-05
sorted,100,Merge Sort,0.00011049999739043415
sorted,100,Quick Sort,7.419999747071415e-05
sorted,1000,Bubble Sort,5.640000745188445e-05
sorted,1000,Selection Sort,0.018693600010010414
sorted,1000,Insertion Sort,9.899999713525176e-05
sorted,1000,Merge Sort,0.0013777999993180856
sorted,1000,Quick Sort,0.0007615000067744404
sorted,5000,Bubble Sort,0.00027209999097976834
sorted,5000,Selection Sort,0.452612399996724
sorted,5000,Insertion Sort,0.00048750000132713467
sorted,5000,Merge Sort,0.006931399999302812
sorted,5000,Quick Sort,0.005023000005166978
sorted,10000,Bubble Sort,0.0005938999966019765
sorted,10000,Selection Sort,1.7913682999933371
sorted,10000,Insertion Sort,0.0009818999969866127
sorted,10000,Merge Sort,0.014790400004130788
sorted,10000,Quick Sort,0.01020299999800045
reversed,100,Bubble Sort,0.0005589000065810978
reversed,100,Selection Sort,0.00024029999622143805
reversed,100,Insertion Sort,0.00032419999479316175
reversed,100,Merge Sort,0.00011559999256860465
reversed,100,Quick Sort,0.00014650000957772136
reversed,1000,Bubble Sort,0.05591810001351405
reversed,1000,Selection Sort,0.02021230000536889
reversed,1000,Insertion Sort,0.03491139999823645
reversed,1000,Merge Sort,0.0012990999966859818
reversed,1000,Quick Sort,0.000760800001444295
reversed,5000,Bubble Sort,1.4392450000013923
reversed,5000,Selection Sort,0.49217240000143647
reversed,5000,Insertion Sort,0.9036416000017198
reversed,5000,Merge Sort,0.007374300010269508
reversed,5000,Quick Sort,0.005082300005597062
reversed,10000,Bubble Sort,5.855461600003764
reversed,10000,Selection Sort,1.975821400003042
reversed,10000,Insertion Sort,3.7312264000065625
reversed,10000,Merge Sort,0.0154917000036221
reversed,10000,Quick Sort,0.009955799992894754
almost_sorted,100,Bubble Sort,0.0001964999974006787
almost_sorted,100,Selection Sort,0.00017780000052880496
almost_sorted,100,Insertion Sort,2.580000727903098e-05
almost_sorted,100,Merge Sort,0.00012229999992996454
almost_sorted,100,Quick Sort,7.280000136233866e-05
almost_sorted,1000,Bubble Sort,0.024283399994601496
almost_sorted,1000,Selection Sort,0.018510199995944276
almost_sorted,1000,Insertion Sort,0.001379100009216927
almost_sorted,1000,Merge Sort,0.0015054000105010346
almost_sorted,1000,Quick Sort,0.0013283000007504597
almost_sorted,5000,Bubble Sort,0.6726597999950172
almost_sorted,5000,Selection Sort,0.4636679999966873
almost_sorted,5000,Insertion Sort,0.0287971999932779
almost_sorted,5000,Merge Sort,0.009275400007027201
almost_sorted,5000,Quick Sort,0.004954899995937012
almost_sorted,10000,Bubble Sort,2.701994700008072
almost_sorted,10000,Selection Sort,1.909564900008263
almost_sorted,10000,Insertion Sort,0.13057449999905657
almost_sorted,10000,Merge Sort,0.0205537000001641
almost_sorted,10000,Quick Sort,0.010689299990190193
